work_id,author_name,author_lower,min_distance,matched_researcher
https://openalex.org/W4367366123,Rudolf Meier,rudolf meier,5.551115123125783e-17,Rudolf Meier
https://openalex.org/W4387968483,Sydne Record,sydne record,5.551115123125783e-17,Sydne Record
https://openalex.org/W2130861846,Hilmar Lapp,hilmar lapp,5.551115123125783e-17,Hilmar Lapp
https://openalex.org/W3081949175,Fay‐Wei Li,fay‐wei li,0.06666666666666678,Fay-Wei Li
https://openalex.org/W4384465874,Seth D. Newsome,seth d. newsome,0.06666666666666678,Seth Newsome
https://openalex.org/W4313325357,Bryan S. McLean,bryan s. mclean,0.06666666666666678,Bryan McLean
https://openalex.org/W4322737768,Sydne Record,sydne record,5.551115123125783e-17,Sydne Record
https://openalex.org/W4324339071,Justin P. F. Pomeranz,justin p. f. pomeranz,0.09523809523809525,Justin Pomeranz
https://openalex.org/W4394595011,Quan Zhang,quan zhang,0.09393939393939396,Susan Zhang
https://openalex.org/W3174750487,Michael H. Reiskind,michael h. reiskind,0.05263157894736849,Michael Reiskind
https://openalex.org/W4205569068,Paula Mabee,paula mabee,5.551115123125783e-17,Paula Mabee
https://openalex.org/W4205569068,Melissa A. Genazzio,melissa a. genazzio,0.09429824561403516,Melissa Genazzio
https://openalex.org/W3201230416,Jarrett D. Blair,jarrett d. blair,0.06250000000000006,Jarrett Blair
https://openalex.org/W3201230416,Michael D. Weiser,michael d. weiser,0.058823529411764844,Michael Weiser
https://openalex.org/W3201230416,Michael Kaspari,michael kaspari,5.551115123125783e-17,Michael Kaspari
https://openalex.org/W3201230416,Cameron D. Siler,cameron d. siler,0.06250000000000006,Cameron Siler
https://openalex.org/W3201230416,Katie E. Marshall,katie e. marshall,0.058823529411764844,Katie Marshall
https://openalex.org/W3048489145,Thea Whitman,thea whitman,5.551115123125783e-17,Thea Whitman
https://openalex.org/W3130395017,Michael Cox,michael cox,0.08585858585858598,Michael Cove
https://openalex.org/W3093302691,Justin P. F. Pomeranz,justin p. f. pomeranz,0.09523809523809525,Justin Pomeranz
https://openalex.org/W4381550223,John D. Parker,john d. parker,0.07142857142857152,John Parker
https://openalex.org/W4364358221,Quan Zhang,quan zhang,0.09393939393939396,Susan Zhang
https://openalex.org/W4390765346,Justin P. F. Pomeranz,justin p. f. pomeranz,0.09523809523809525,Justin Pomeranz
https://openalex.org/W4392820514,Michael Kaspari,michael kaspari,5.551115123125783e-17,Michael Kaspari
https://openalex.org/W4392820514,Michael D. Weiser,michael d. weiser,0.058823529411764844,Michael Weiser
https://openalex.org/W4392820514,Cameron D. Siler,cameron d. siler,0.06250000000000006,Cameron Siler
https://openalex.org/W4392820514,Katie E. Marshall,katie e. marshall,0.058823529411764844,Katie Marshall
https://openalex.org/W4384661215,Beckett Sterner,beckett sterner,5.551115123125783e-17,Beckett Sterner
https://openalex.org/W4384661215,Nico M. Franz,nico m. franz,0.076923076923077,Nico Franz
https://openalex.org/W3015052308,Katrina M. Dlugosch,katrina m. dlugosch,0.05263157894736849,Katrina Dlugosch
https://openalex.org/W4392653682,Davide Dal Pos,davide dal pos,5.551115123125783e-17,Davide Dal Pos
https://openalex.org/W3175652825,Beckett Sterner,beckett sterner,5.551115123125783e-17,Beckett Sterner
https://openalex.org/W3175652825,Ed Gilbert,ed gilbert,5.551115123125783e-17,Ed Gilbert
https://openalex.org/W3175652825,Nico M. Franz,nico m. franz,0.076923076923077,Nico Franz
https://openalex.org/W2954654534,Naoru Koizumi,naoru koizumi,5.551115123125783e-17,Naoru Koizumi
https://openalex.org/W4390946494,Eric R. Sokol,eric r. sokol,0.076923076923077,Eric Sokol
https://openalex.org/W4236875008,M Jones,m jones,0.09999999999999999,Matt Jones
https://openalex.org/W4394910354,Sydne Record,sydne record,5.551115123125783e-17,Sydne Record
